estado_cruce,codigo_local_normalizado,csv_codigoLocalVotacion,csv_nombreLocalVotacion,csv_departamento,csv_provincia,csv_distrito,csv_match_metodo,csv_match_detalle,csv_iiee_codigo_local,csv_iiee_nombre,csv_iiee_direccion,csv_iiee_latitud,csv_iiee_longitud,xlsx_ID_LOCAL,xlsx_NOMBRE_DEL_LOCAL,xlsx_DEPARTAMENTO,xlsx_PROVINCIA,xlsx_DISTRITO,xlsx_NRO_DE_MESAS_POR_LOCAL
solo_xlsx,1834,,,,,,,,,,,,,1834,IEI 32575 PANAO,HUANUCO,PACHITEA,PANAO,7
solo_csv,2382,2382,I.E. 80449,LA LIBERTAD,PATAZ,HUAYO,estricto,sin_prefijo,267202,80449,HUAYO,-8.00556500,-77.59114200,,,,,,
solo_csv,2468,2468,IE 10022 MIGUEL MURO ZAPATA -  LA VICTORIA,LAMBAYEQUE,CHICLAYO,LA VICTORIA,geocoding,geocoding_ROOFTOP,,,"Av. Garcilaso de la Vega 830, Chiclayo 14001, Perú",-6.7777499,-79.836855,,,,,,
solo_xlsx,3341,,,,,,,,,,,,,3341,IE GLORIOSO HUSARES DE JUNIN,LIMA,LIMA,EL AGUSTINO,26
solo_xlsx,3959,,,,,,,,,,,,,3959,IE 64478 BELLAVISTA CALLARU,LORETO,MARISCAL RAMON CASTILLA,YAVARI,6
solo_xlsx,5110,,,,,,,,,,,,,5110,IE 3002-A MANUEL PARDO,LIMA,LIMA,RIMAC,8
solo_xlsx,6331,,,,,,,,,,,,,6331,IE 40698 SAN JUAN BAUTISTA DE MAJES  PRIMARIA,AREQUIPA,CAYLLOMA,MAJES,7
solo_csv,7180,7180,IE JOSE GALVEZ EGUSQUIZA,PIURA,MORROPON,CHULUCANAS,estricto,sin_prefijo,430335,JOSE GALVEZ EGUSQUIZA,TALANDRACAS,-5.11174000,-80.06723000,,,,,,
solo_xlsx,12148,,,,,,,,,,,,,12148,IE 81006 AMAUTA,LA LIBERTAD,TRUJILLO,TRUJILLO,13
solo_csv,12682,12682,IE 20326,LIMA,HUAURA,HUALMAY,estricto,sin_prefijo,359975,20326,CALLE PUQUIO CANO S/N,-11.10102000,-77.59743000,,,,,,
solo_csv,13105,13105,ESTADIO MUNICIPAL MARCELINO CCAICO ARONE,LIMA,LIMA,EL AGUSTINO,geocoding,geocoding_ROOFTOP,,,"XX7V+88M, El Agustino 15006, Perú",-12.036659,-77.0067176,,,,,,
solo_csv,13686,13686,IE 049 NUESTRA SEÑORA DE GUADALUPE,LIMA,LIMA,RIMAC,estricto,sin_prefijo,320488,049 NUESTRA SEÑORA DE GUADALUPE,PASAJE CECILIA DEL RISCO S/N,-12.03037000,-77.03150000,,,,,,
solo_csv,14224,14224,IEP MARIA INMACULADA CONCEPCION,LIMA,LIMA,VILLA EL SALVADOR,estricto,sin_prefijo,344578,MARIA INMACULADA CONCEPCION,MZ G' LOTE 23 ETAPA IV SECTOR 2,-12.23934000,-76.92321000,,,,,,
solo_csv,20552,20552,IE 40698 SAN JUAN BAUTISTA DE MAJES SECUNDARIA,AREQUIPA,CAYLLOMA,MAJES,estricto,sin_prefijo,627006,40698 SAN JUAN BAUTISTA DE MAJES,CARRETERA PEDREGAL KM 920,-16.37672900,-72.19882000,,,,,,
solo_xlsx,24975,,,,,,,,,,,,,24975,IESTP PICHANAQUI,JUNIN,CHANCHAMAYO,PICHANAQUI,9
solo_xlsx,26683,,,,,,,,,,,,,26683,IEIPS 10086 VICTOR CAJO SEGUNDO,LAMBAYEQUE,FERREÑAFE,INCAHUASI,1
solo_xlsx,31651,,,,,,,,,,,,,31651,IE JOSE MARIA ARGUEDAS,CUSCO,QUISPICANCHI,CCATCA,7
solo_xlsx,31773,,,,,,,,,,,,,31773,IEP HIPOLITO UNANUE - BRISAS,LIMA,LIMA,VILLA EL SALVADOR,8
solo_xlsx,35411,,,,,,,,,,,,,35411,IE 11045,LAMBAYEQUE,FERREÑAFE,INCAHUASI,1
solo_xlsx,40467,,,,,,,,,,,,,40467,IEI 191,LAMBAYEQUE,LAMBAYEQUE,MORROPE,5
solo_xlsx,40470,,,,,,,,,,,,,40470,IE 10167 LOS POSITOS,LAMBAYEQUE,LAMBAYEQUE,MORROPE,6
solo_xlsx,40478,,,,,,,,,,,,,40478,MERCADO DE ABASTOS LA COLORADA,LAMBAYEQUE,LAMBAYEQUE,MORROPE,5
solo_xlsx,40583,,,,,,,,,,,,,40583,IE 64181 TIRUNTAN,LORETO,UCAYALI,PADRE MARQUEZ,6
solo_xlsx,51161,,,,,,,,,,,,,51161,LOCAL DE LA COMUNIDAD DE KAÑARIS,LAMBAYEQUE,FERREÑAFE,CAÑARIS,1
solo_xlsx,51173,,,,,,,,,,,,,51173,IEP JUANA ALARCO DE DAMMERT,LIMA,LIMA,SAN MIGUEL,6
solo_xlsx,51483,,,,,,,,,,,,,51483,MERCADO DE ABASTOS CASERIO LA OLLERIA,LAMBAYEQUE,LAMBAYEQUE,MORROPE,5
solo_xlsx,52503,,,,,,,,,,,,,52503,IE 10054,LAMBAYEQUE,CHICLAYO,LA VICTORIA,9
solo_xlsx,53560,,,,,,,,,,,,,53560,IE 60348,LORETO,PUTUMAYO,TENIENTE MANUEL CLAVERO,2
solo_xlsx,53562,,,,,,,,,,,,,53562,IE 60347,LORETO,PUTUMAYO,YAGUAS,1
solo_xlsx,53652,,,,,,,,,,,,,53652,IE 14630,PIURA,MORROPON,CHULUCANAS,3
solo_xlsx,54307,,,,,,,,,,,,,54307,IEP SACO OLIVEROS SEDE CALCA,LIMA,LIMA,ATE,7
solo_xlsx,54502,,,,,,,,,,,,,54502,UNIVERSIDAD AUTONOMA DE ICA - SEDE HUACHO,LIMA,HUAURA,HUALMAY,11
solo_xlsx,54565,,,,,,,,,,,,,54565,IEI 429-158 CINTIARO,AYACUCHO,HUANTA,CANAYRE,1
solo_xlsx,54655,,,,,,,,,,,,,54655,IE 10530 MASINTRANCA,CAJAMARCA,CHOTA,CHALAMARCA,6
solo_xlsx,54708,,,,,,,,,,,,,54708,IE 80855 CESAR ACUÑA PERALTA,LA LIBERTAD,PATAZ,HUAYO,9
solo_csv,55405,55405,IE 1228 LEONCIO PRADO GUTIERREZ- SECUNDARIA,LIMA,LIMA,ATE,geocoding,geocoding_ROOFTOP,,,"X37F+J2Q, Los Claveles, Ate 15026, Perú",-12.0359124,-76.92737509999999,,,,,,
solo_csv,55510,55510,I.E 101092,CAJAMARCA,CHOTA,CHALAMARCA,estricto,sin_prefijo,579835,101092,CARRETERA SANTA CLARA S/N,-6.51828600,-78.47065100,,,,,,
